Table 1: Weekly provisional1 figures on deaths registered2 where coronavirus (COVID-19) was mentioned on the death certificate in Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number3,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,12,30,64,46,54,38,35,25,12,9,9,2,3,3,2,0,0,1,2,0,1,1,1,0,0,2,1,1,4,9,14,13,20,32,31,34,19,23,,554
,65-74,0,0,0,0,0,0,0,0,0,0,0,5,11,67,100,81,100,74,50,47,23,16,10,6,4,4,1,2,0,0,1,1,1,0,1,0,2,0,0,3,4,9,20,40,35,53,41,39,40,34,,925
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,24,107,228,222,227,144,145,93,71,45,25,24,16,12,7,4,4,5,2,2,0,2,1,0,3,2,4,12,9,39,42,58,71,99,68,82,77,83,,2062
,85+,0,0,0,0,0,0,0,0,0,0,0,2,15,74,213,299,274,269,183,169,124,60,43,35,26,16,8,7,2,2,1,2,1,3,4,2,0,7,5,4,7,17,28,57,81,94,104,95,94,84,,2511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,,18
,45-64,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,16,17,12,16,10,5,5,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,5,5,9,9,8,13,4,7,,187
,65-74,0,0,0,0,0,0,0,0,0,0,0,3,3,20,32,32,43,26,20,21,4,8,6,2,4,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,1,7,5,16,18,19,20,16,17,17,,366
,75-84,0,0,0,0,0,0,0,0,0,0,0,0,9,50,97,93,105,66,66,42,41,20,11,12,9,7,2,1,2,2,2,2,0,1,0,0,0,1,1,5,3,13,20,25,31,37,19,37,40,40,,912
,85+,0,0,0,0,0,0,0,0,0,0,0,1,11,43,113,168,178,173,118,108,73,35,27,27,15,12,7,5,2,2,1,2,1,3,2,2,0,4,2,4,3,9,15,24,45,54,72,51,44,45,,1501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,15-44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,2,0,,22
,45-64,0,0,0,0,0,0,0,0,0,0,0,0,9,18,47,30,37,26,19,15,7,4,7,2,1,3,2,0,0,0,1,0,0,1,1,0,0,2,1,1,1,6,9,8,11,23,23,21,15,16,,367
,65-74,0,0,0,0,0,0,0,0,0,0,0,2,8,47,68,49,57,48,30,26,19,8,4,4,0,4,0,0,0,0,1,0,1,0,0,0,1,0,0,3,3,2,15,24,17,34,21,23,23,17,,559
,75-84,0,0,0,0,0,0,0,0,0,0,0,3,15,57,131,129,122,78,79,51,30,25,14,12,7,5,5,3,2,3,0,0,0,1,1,0,3,1,3,7,6,26,22,33,40,62,49,45,37,43,,1150
,85+,0,0,0,0,0,0,0,0,0,0,0,1,4,31,100,131,96,96,65,61,51,25,16,8,11,4,1,2,0,0,0,0,0,0,2,0,0,3,3,0,4,8,13,33,36,40,32,44,50,39,,1010
,Deaths by NHS Board of usual residence 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayrshire and Arran,0,0,0,0,0,0,0,0,0,0,0,1,9,17,40,51,39,35,28,21,21,14,6,6,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,10,9,18,22,29,38,31,34,28,,516
,Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,7,3,4,3,6,4,4,6,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,1,2,1,2,1,2,,89
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,10,2,3,4,5,0,1,,79
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,39,33,25,19,15,4,8,3,3,2,3,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,2,1,4,1,10,8,11,4,11,,258
,Forth Valley,0,0,0,0,0,0,0,0,0,0,0,0,7,20,32,31,34,32,31,17,12,3,4,5,4,3,1,0,2,0,2,1,0,2,0,0,0,0,1,1,0,2,2,2,15,16,15,13,8,6,,324
,Grampian,0,0,0,0,0,0,0,0,0,0,0,2,3,6,35,43,40,30,28,27,17,9,5,6,4,3,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,5,5,3,4,7,7,10,18,,324
,Greater Glasgow and Clyde,0,0,0,0,0,0,0,0,0,0,0,3,13,107,193,197,232,171,126,118,75,30,21,17,15,8,4,1,0,3,2,3,1,1,2,1,3,3,3,6,7,31,44,51,85,106,81,82,73,58,,1977
,Highland,0,0,0,0,0,0,0,0,0,0,0,1,5,11,13,21,22,16,9,6,4,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0,5,0,2,0,2,2,,133
,Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,8,40,90,90,83,74,51,46,30,22,18,8,8,11,3,1,1,2,1,0,0,1,1,0,0,4,3,5,9,8,20,52,43,63,49,54,53,48,,1000
,Lothian,0,0,0,0,0,0,0,0,0,0,0,2,7,32,108,109,114,99,81,54,44,24,15,11,9,4,7,5,2,0,1,0,2,1,1,0,0,0,0,3,8,17,14,16,18,31,31,28,29,40,,967
,Orkney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3
,Shetland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,8
,Tayside,0,0,0,0,0,0,0,0,0,0,0,0,3,14,37,51,59,34,33,25,19,13,9,9,2,2,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,2,3,8,12,13,10,19,18,10,,413
,Western Isles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by Council Area of usual residence5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen City,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,18,15,15,15,16,13,3,5,5,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,4,1,3,5,7,9,7,,165
,Aberdeenshire,0,0,0,0,0,0,0,0,0,0,0,1,1,4,21,25,23,13,11,8,3,1,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,2,0,1,11,,137
,Angus,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,12,19,7,5,5,3,4,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,3,3,3,1,3,,94
,Argyll and Bute,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,12,14,13,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,4,0,1,0,2,2,,79
,City of Edinburgh,0,0,0,0,0,0,0,0,0,0,0,1,3,17,61,64,72,61,43,39,26,13,8,6,6,2,1,3,1,0,1,0,0,1,0,0,0,0,0,0,3,5,6,4,12,8,10,6,7,19,,509
,Clackmannanshire,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,11,9,6,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,,56
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,10,2,3,4,5,0,1,,79
,Dundee City,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,29,27,22,17,12,13,8,3,4,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,7,7,6,9,9,0,,214
,East Ayrshire,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,12,11,10,12,4,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,8,8,9,7,5,8,7,,139
,East Dunbartonshire,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,18,20,22,16,18,6,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,5,6,15,12,6,5,2,,197
,East Lothian,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,21,15,5,7,3,2,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,1,0,,90
,East Renfrewshire,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,14,13,10,20,11,5,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,3,2,6,13,5,3,4,4,,147
,Falkirk,0,0,0,0,0,0,0,0,0,0,0,0,6,6,17,16,25,16,17,9,8,3,3,2,2,3,0,0,2,0,2,1,0,2,0,0,0,0,1,1,0,2,1,2,8,9,5,5,2,1,,177
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,39,33,25,19,15,4,8,3,3,2,3,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,2,1,4,1,10,8,11,4,11,,258
,Glasgow City,0,0,0,0,0,0,0,0,0,0,0,1,7,46,97,95,125,85,58,59,32,13,5,10,9,3,2,1,0,1,0,2,0,0,1,1,2,1,0,5,6,18,29,34,61,64,38,51,38,29,,1029
,Highland,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,9,8,3,6,5,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,54
,Inverclyde,0,0,0,0,0,0,0,0,0,0,0,0,3,18,29,26,17,6,4,3,3,1,2,0,2,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,,129
,Midlothian,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,16,15,27,18,9,7,4,2,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,1,3,5,3,1,9,,146
,Moray,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,3,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,22
,Na h-Eileanan Siar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
,North Ayrshire,0,0,0,0,0,0,0,0,0,0,0,1,5,10,15,13,11,13,7,8,12,6,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,7,6,13,12,8,12,13,,184
,North Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,5,28,46,46,33,37,15,20,8,14,5,3,3,4,0,1,1,1,0,0,0,1,1,0,0,4,2,5,8,5,6,29,20,32,21,24,22,14,,464
,Orkney Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3
,Perth and Kinross,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,10,13,5,11,8,3,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,3,3,1,7,8,7,,105
,Renfrewshire,0,0,0,0,0,0,0,0,0,0,0,2,0,15,26,33,40,33,11,17,13,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,7,7,7,17,17,22,15,,308
,Scottish Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,7,3,4,3,6,4,4,6,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,1,2,1,2,1,2,,89
,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,8
,South Ayrshire,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,26,17,12,9,9,6,6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,8,7,19,18,14,8,,193
,South Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,3,12,44,44,50,37,36,26,22,8,13,5,5,7,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3,14,23,23,31,28,30,31,34,,536
,Stirling,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,5,5,5,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,9,8,4,4,,91
,West Dunbartonshire,0,0,0,0,0,0,0,0,0,0,0,0,2,16,17,17,19,17,11,12,4,5,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5,2,3,4,6,7,4,4,5,,167
,West Lothian,0,0,0,0,0,0,0,0,0,0,0,1,2,8,15,8,12,6,13,3,9,6,4,3,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,3,4,11,6,9,5,19,14,19,20,12,,222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by location6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Care Home,0,0,0,0,0,0,0,0,0,0,0,1,5,49,189,303,341,316,238,187,124,69,42,34,20,16,6,7,3,2,2,2,1,4,3,0,2,3,4,6,7,13,18,31,53,72,67,75,78,62,,2455
,Home / Non-institution,0,0,0,0,0,0,0,0,0,0,0,2,14,39,63,36,44,17,22,19,9,7,7,7,1,3,1,1,0,2,1,1,0,0,1,0,0,0,1,0,1,5,6,9,9,8,17,11,9,8,,381
,Hospital,0,0,0,0,0,0,0,0,0,0,0,8,43,193,357,311,277,194,154,128,95,55,39,27,28,16,12,5,3,4,3,2,2,2,3,2,3,8,5,13,17,58,82,128,144,199,162,165,145,154,,3246
,Other institution,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Figures are provisional and subject to change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Figures are based on date of registration.  In Scotland deaths must be registered within 8 days although in practice, the average time between death and registration is around 3 days.  More information on days between occurrence and registration can be found on the NRS website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Weeks run from Monday to Sunday and are based on the ISO8601 international standard for week numbering. Note that weeks at the beginning and end of a year can overlap with the previous and subsequent year, so counts may not sum to annual totals published elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Deaths where codes U0701 or U0702 are mentioned on the death certificate according to the WHO International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Figures include non-residents.  Deaths are allocated to area based on the usual residence of the deceased.  If the deceased was not a Scottish resident, the death is allocated to the area where the death occurred.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) Other institutions include clinics, medical centres, prisons and schools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: National Records of Scotland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
� Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
