Table 1: Weekly provisional1 figures on deaths registered2 where coronavirus (COVID-19) was mentioned on the death certificate in Scotland,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Week number3,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,
,Aberdeenshire,0,0,0,0,0,0,0,0,0,0,0,1,1,4,21,25,23,13,11,8,3,1,,111
,Angus,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,12,19,7,5,5,3,4,,66
,Argyll and Bute,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,12,14,13,3,1,2,3,,64
,City of Edinburgh,0,0,0,0,0,0,0,0,0,0,0,1,3,17,61,64,71,61,43,39,26,13,,399
,Clackmannanshire,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,11,9,6,2,0,,43
,Dumfries and Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,3,6,6,1,0,0,,47
,Dundee City,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,29,27,22,17,12,13,8,,157
,East Ayrshire,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,12,11,10,12,4,3,2,,70
,East Dunbartonshire,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,18,20,22,16,18,6,,128
,East Lothian,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,21,15,5,7,3,2,1,,77
,East Renfrewshire,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,14,13,10,20,11,5,1,,95
,Falkirk,0,0,0,0,0,0,0,0,0,0,0,0,6,6,17,16,25,16,17,9,8,3,,123
,Fife,0,0,0,0,0,0,0,0,0,0,0,2,4,9,31,39,33,25,19,15,4,8,,189
,Glasgow City,0,0,0,0,0,0,0,0,0,0,0,1,7,46,97,95,123,84,58,59,32,13,,615
,Highland,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,3,6,5,2,1,,47
,Inverclyde,0,0,0,0,0,0,0,0,0,0,0,0,3,18,29,26,17,6,4,3,3,1,,110
,Midlothian,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,16,15,27,18,9,7,4,,114
,Moray,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,2,3,1,5,,19
,Na h-Eileanan Siar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
,North Ayrshire,0,0,0,0,0,0,0,0,0,0,0,1,5,10,15,13,11,13,7,8,12,6,,101
,North Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,5,28,46,46,33,37,15,20,8,14,,252
,Orkney Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,2
,Perth and Kinross,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,10,13,5,11,8,3,1,,66
,Renfrewshire,0,0,0,0,0,0,0,0,0,0,0,2,0,15,26,33,40,33,11,17,13,4,,194
,Scottish Borders,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,7,3,4,3,6,4,4,,62
,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,,7
,South Ayrshire,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,26,17,12,9,9,6,6,,105
,South Lanarkshire,0,0,0,0,0,0,0,0,0,0,0,0,3,12,44,44,50,37,36,26,22,8,,282
,Stirling,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,5,5,5,2,2,0,,53
,West Dunbartonshire,0,0,0,0,0,0,0,0,0,0,0,0,2,16,17,17,19,17,11,12,4,5,,120
,West Lothian,0,0,0,0,0,0,0,0,0,0,0,1,2,8,15,8,12,6,13,3,9,6,,83
,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by location6,,,,,,,,,,,,,,,,,,,,,,,,
,Care Home,0,0,0,0,0,0,0,0,0,0,0,0,5,49,189,303,340,315,238,187,124,68,,1818
,Home / Non-institution,0,0,0,0,0,0,0,0,0,0,0,2,14,39,64,36,42,17,22,19,9,8,,272
,Hospital,0,0,0,0,0,0,0,0,0,0,0,8,43,193,357,311,277,194,154,128,95,55,,1815
,Other institution,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,,6
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,
1) Figures are provisional and subject to change.,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Figures are based on date of registration.  In Scotland deaths must be registered within 8 days although in practice, the average time between death and registration is around 3 days.  More information on days between occurrence and registration can be found on the NRS website.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Weeks run from Monday to Sunday and are based on the ISO8601 international standard for week numbering. Note that weeks at the beginning and end of a year can overlap with the previous and subsequent year, so counts may not sum to annual totals published elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
4) Deaths where codes U07.1 or U07.2 are mentioned on the death certificate according to the WHO International Statistical Classification of Diseases and Related Health Problems 10th Revision (ICD-10).,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Figures include non-residents.  Deaths are allocated to area based on the usual residence of the deceased.  If the deceased was not a Scottish resident, the death is allocated to the area where the death occurred.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"6) Other institutions include clinics, medical centres, prisons and schools.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Source: National Records of Scotland.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
� Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,
